Year,fertility_rate_total,female_literacy_Rate
2000,3.57222407623416,44.9287490844727
2001,3.51554775582573,45.6749000549316
2002,3.43226816745664,46.9998512268066
2003,3.33920517614016,47.8515281677246
2004,3.25804645103285,48.8937492370605
2005,3.16695440217352,48.0956192016602
2006,3.07374585084639,48.7504081726074
2007,2.99959186542332,49.9173011779785
2008,2.92963295005513,50.9917602539062
2009,2.87774589925352,52.0031394958496
2010,2.80760182404995,55.8053703308105
2011,2.74278809849491,56.8044013977051
2012,2.67834837551275,57.5709991455078
2013,2.62133190589734,58.5660095214844
2014,2.53000842799494,59.5967483520508
2015,2.49836592473185,60.7380485534668
2016,2.4751853554712002,62.3422813415527
2017,2.4061305272959,63.2356109619141
2018,2.37934101117305,63.7823715209961
2019,2.32011599715771,63.746768951416
2020,2.26709778262632,64.6073913574219
